Model name,Pvalue
RobustSTL-NBEATS,1.0
STL-NBEATS,0.458
STL-EnsAvg,0.223
STL-EnsWgt,0.17
STL-TCN,0.17
STL-Auto,0.14
RobustSTL-Auto,0.048
RobustSTL-EnsAvg,0.043
RobustSTL-TCN,0.006
RobustSTL-ARIMA-LSTM,0.001
TCN(direct),0.0
NBEATS(direct),0.0
GRU(direct),0.0
STL-ARIMA-LSTM,0.0
RobustSTL-EnsWgt,0.0
STL-GRU,0.0
RW-drift,0.0
RobustSTL-GRU,0.0
ARIMA,0.0
